re1,re2,re3,prod1,prod2,prod3,prod4,alpha,beta,gamma,tmin,tmax
C,CRP,NAN,C+,E-,NAN,NAN,2.3e-17,0.0,0.0,10,41000
CO,CRP,NAN,CO+,E-,NAN,NAN,3.9e-17,0.0,0.0,10,41000
H2,CRP,NAN,H+,H,E-,NAN,2.86e-19,0.0,0.0,10,41000
H2,CRP,NAN,H2+,E-,NAN,NAN,1.2e-17,0.0,0.0,10,41000
H2,CRP,NAN,H,H,NAN,NAN,1.3e-18,0.0,0.0,10,41000
H,CRP,NAN,H+,E-,NAN,NAN,5.98e-18,0.0,0.0,10,41000
O,CRP,NAN,O+,E-,NAN,NAN,3.4e-17,0.0,0.0,10,41000
C,CRPHOT,NAN,C+,E-,NAN,NAN,1.3e-17,0.0,255.0,10,41000
CH+,CRPHOT,NAN,C+,H,NAN,NAN,1.3e-17,0.0,88.0,10,41000
CH2,CRPHOT,NAN,CH2+,E-,NAN,NAN,1.3e-17,0.0,250.0,10,41000
CH2,CRPHOT,NAN,CH,H,NAN,NAN,1.3e-17,0.0,250.0,10,41000
CH,CRPHOT,NAN,C,H,NAN,NAN,1.3e-17,0.0,365.0,10,41000
CO2,CRPHOT,NAN,CO,O,NAN,NAN,1.3e-17,0.0,854.0,10,41000
CO,CRPHOT,NAN,O,C,NAN,NAN,1.3e-17,1.17,105.0,10,41000
H2O,CRPHOT,NAN,OH,H,NAN,NAN,1.3e-17,0.0,485.5,10,41000
H,CRPHOT,NAN,H+,E-,NAN,NAN,1.3e-17,0.0,0.2,10,41000
HCO,CRPHOT,NAN,CO,H,NAN,NAN,1.3e-17,0.0,210.5,10,41000
HCO,CRPHOT,NAN,HCO+,E-,NAN,NAN,1.3e-17,0.0,584.5,10,41000
O2,CRPHOT,NAN,O,O,NAN,NAN,1.3e-17,0.0,375.5,10,41000
O,CRPHOT,NAN,O+,E-,NAN,NAN,1.3e-17,0.0,1.4,10,41000
OH,CRPHOT,NAN,O,H,NAN,NAN,1.3e-17,0.0,254.5,10,41000
C,PHOTON,NAN,C+,E-,NAN,NAN,3.1e-10,0.0,3.3,10,41000
CH+,PHOTON,NAN,C,H+,NAN,NAN,3.3e-10,0.0,2.9,10,41000
CH2+,PHOTON,NAN,C+,H2,NAN,NAN,4.67e-11,0.0,2.2,10,41000
CH2+,PHOTON,NAN,CH+,H,NAN,NAN,4.67e-11,0.0,2.2,10,41000
